,ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
0,0,retained,243.0,202.5,296.7482729,2276,208.0,0.0,2628.845068,1985.775061,28,19,Android
1,1,retained,133.0,107.0,326.8965962,1225,19.0,64.0,9923.95054075,3160.472914,13,11,iPhone
2,2,retained,114.0,95.0,135.5229263,2651,0.0,0.0,3059.148818,1610.735904,14,8,Android
3,3,retained,49.0,40.0,67.58922127,15,322.0,7.0,913.5911231,587.1965423,7,3,iPhone
4,4,retained,84.0,68.0,168.2470201,1562,166.0,5.0,3950.202008,1219.555924,27,18,Android
5,5,retained,113.0,103.0,279.5444373,2637,0.0,0.0,901.2386985,439.1013973,15,11,iPhone
6,6,retained,3.0,2.0,236.7253142,360,185.0,18.0,5249.172828,726.5772047,28,23,iPhone
7,7,retained,39.0,35.0,176.0728446,2999,0.0,0.0,7892.052468,2466.981741,22,20,iPhone
8,8,retained,57.0,46.0,183.5320177,424,0.0,26.0,2651.709764,1594.342984,25,20,Android
9,9,churned,84.0,68.0,244.8021148,2997,72.0,0.0,6043.460295,2341.838528,7,3,iPhone
10,10,retained,23.0,20.0,117.2257719,1946,0.0,36.0,8554.91444,4907.0501746,9,9,iPhone
11,11,retained,125.0,100.0,357.1790311,487,3.0,7.0,2284.819767,1034.651333,1,1,iPhone
12,12,retained,51.0,41.0,109.8818549,2760,64.0,0.0,2512.308716,1717.268618,12,12,iPhone
13,13,retained,80.0,64.0,132.8305064,3154,39.0,16.0,8531.24807,4907.0501746,1,0,Android
14,14,churned,72.0,66.0,401.3518086,2524,54.0,24.0,5922.811202,2227.280393,0,0,Android
15,15,retained,23.0,22.0,95.2921595,50,193.0,0.0,2188.829771,1775.713499,11,10,iPhone
16,16,retained,30.0,25.0,41.53837224,1554,61.0,19.0,1213.549279,949.1301246,17,13,Android
17,17,churned,243.0,202.5,498.16452556,88,0.0,90.0,3529.33898,2078.426838,11,11,Android
18,18,retained,48.0,38.0,259.0657534,2077,131.0,11.0,9140.608725,4907.0501746,10,3,Android
19,19,retained,106.0,98.0,170.9254705,87,0.0,6.0,8566.541401,2534.595126,22,20,iPhone
20,20,retained,52.0,42.0,144.7141026,2937,306.0,0.0,1601.896284,951.8891394,7,7,iPhone
21,21,retained,148.0,119.0,168.8281397,501,77.0,28.0,2170.296817,551.9648276,21,21,iPhone
22,22,churned,73.0,60.0,118.8088122,1607,254.0,92.0,2653.436921,400.7073101,16,16,iPhone
23,23,churned,29.0,23.0,33.13702884,2188,338.0,0.0,4283.503913,654.5190065,2,2,iPhone
24,24,retained,3.0,3.0,50.32821361,1084,63.0,23.0,2274.207173,1650.575799,16,10,Android
25,25,retained,0.0,0.0,139.194969,2731,13.0,4.0,5702.339466,4582.737478,6,2,Android
26,26,retained,132.0,106.0,160.2585518,112,199.0,28.0,4828.974928,3178.144689,13,9,Android
27,27,churned,5.0,5.0,215.8764605,2465,412.0,0.0,925.0304742,490.5346749,16,8,iPhone
28,28,retained,64.0,54.0,80.76829058,1635,81.0,0.0,2723.495224,1546.790177,2,2,iPhone
29,29,retained,57.0,46.0,60.0376594,1732,429.0,95.0,1443.441103,589.9503158,27,21,Android
30,30,retained,78.0,66.0,484.5716429,2381,106.0,21.0,9923.95054075,4907.0501746,31,26,iPhone
31,31,retained,46.0,37.0,98.15654833,2938,372.0,26.0,4042.105947,1404.569949,22,17,iPhone
32,32,retained,38.0,34.0,62.74575283,1940,313.0,12.0,4668.226427,1066.10387,24,20,iPhone
33,33,retained,243.0,202.5,498.16452556,275,39.0,9.0,2578.7202,1703.292389,15,15,iPhone
34,34,retained,126.0,101.0,346.3382111,2225,149.0,0.0,3666.356368,1446.018362,11,11,iPhone
35,35,retained,156.0,127.0,498.16452556,101,113.0,0.0,1944.771913,646.9535456,18,18,iPhone
36,36,retained,75.0,60.0,108.1659311,2329,223.0,36.0,2354.623612,809.7421876,4,1,Android
37,37,retained,16.0,14.0,103.8941155,443,0.0,5.0,8786.114497,4907.0501746,19,19,Android
38,38,retained,95.0,78.0,190.9769901,1848,35.0,28.0,2314.364451,1317.170917,20,20,iPhone
39,39,retained,91.0,91.0,123.8217255,470,0.0,86.0,3423.421216,2355.455086,29,26,iPhone
40,40,retained,105.0,91.0,115.0010192,655,14.0,11.0,1822.449032,1197.962657,24,24,Android
41,41,retained,20.0,17.0,183.5959214,2601,325.0,15.0,3182.697466,1768.326087,23,16,iPhone
42,42,retained,165.0,132.0,309.913971,2567,293.0,76.0,4673.201532,2119.32992,20,17,Android
43,43,retained,133.0,106.0,182.484696,2595,185.0,52.0,4422.867487,2012.308708,8,2,Android
44,44,retained,26.0,22.0,132.0307891,921,272.0,7.0,632.1399703,420.7125087,30,24,Android
45,45,retained,25.0,25.0,63.26935458,1219,7.0,0.0,1187.584153,419.5127746,27,25,iPhone
46,46,churned,114.0,105.0,309.5828548,189,11.0,7.0,4285.245618,2322.605058,9,4,iPhone
47,47,churned,23.0,20.0,24.75851394,552,65.0,14.0,1564.220191,821.8420876,3,3,iPhone
48,48,churned,48.0,42.0,223.2527291,757,335.0,28.0,9923.95054075,3369.145354,8,2,iPhone
49,49,retained,62.0,51.0,113.8218829,694,274.0,42.0,3826.387247,2916.712292,26,21,Android
50,50,retained,7.0,7.0,36.67792977,2794,274.0,18.0,1130.116953,723.0277468,8,8,iPhone
51,51,retained,67.0,57.0,76.46614419,1713,0.0,52.0,1620.545554,793.9297612,25,19,Android
52,52,retained,4.0,4.0,62.62085256,3291,65.0,0.0,4996.233445,1345.047896,28,23,iPhone
53,53,retained,84.0,68.0,123.517569,3286,74.0,107.5,1558.791847,1201.028705,17,15,iPhone
54,54,retained,12.0,10.0,21.82921966,3365,26.0,0.0,2900.68855,1698.26517,14,7,Android
55,55,retained,20.0,18.0,110.2701495,724,70.0,0.0,4418.959399,1660.205994,7,3,iPhone
56,56,churned,150.0,127.0,187.7083464,2028,208.0,107.5,1396.461977,496.6208911,0,0,iPhone
57,57,retained,41.0,33.0,176.6673157,2257,86.0,9.0,2493.388001,1103.630334,5,4,Android
58,58,retained,44.0,35.0,125.7867257,2193,304.0,0.0,351.6341884,243.7716509,11,9,iPhone
59,59,retained,23.0,20.0,24.46477623,1924,169.0,0.0,9923.95054075,4907.0501746,27,26,Android
60,60,retained,49.0,42.0,68.3160358,1195,132.0,9.0,2702.164267,244.0548921,31,20,iPhone
61,61,retained,43.0,35.0,236.7279571,1756,29.0,53.0,1461.93937,954.0503968,8,8,iPhone
62,62,retained,69.0,56.0,81.66585433,1356,373.0,0.0,9923.95054075,4907.0501746,24,23,iPhone
63,63,retained,243.0,202.5,298.6736471,1546,0.0,88.0,4695.169432,2146.467081,6,1,iPhone
